Android/JAVA开发工程师 南京普惠恒丰信息科技有限公司 0.8-1.4万/月
新媒体运营主管 北京华远意通热力科技股份有限公司 5-9千/月
知名地产公司 高端社群运营专员 万宝瑞华人才管理咨询（上海）有限公司 6-8千/月
淘宝运营/天猫运营 广州翼川厨具商贸有限公司 0.8-2万/月
shopee运营组长虾皮销售 深圳阿凡达电子商务有限公司 0.6-1万/月
独立站精品开发主管 （跨境电商）四衡商务信息咨询（上海）有限公司 1-1.5万/月
项目经理 云南振华邮电通信工程有限公司 10-15万/年
电气安装工程师 重庆凯测试验设备有限责任公司 6-8千/月
嵌入式软件工程师 深圳盛显科技有限公司 0.6-1.5万/月
机器视觉工程师 深圳市大富科技股份有限公司 1-1.5万/月
服务器工程师 成都星合互娱科技有限公司 1-2万/月
cocos客户端开发 深圳市达铭丰科技有限公司 2-5万/月
Linux运维工程师 上海晋展网络科技有限公司 1.5-2.5万/月
IT（大数据）工程师 集辉信息系统（上海）有限公司 1-2万/月
ORACLE工程师 东莞市元天软件科技有限公司 0.5-1万/月
